vd	vo
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5280
96	5200
96	5200
96	5200
96	5200
96	5200
94	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
94	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5280
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
94	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
94	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5280
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
94	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5280
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5280
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5120
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
94	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
98	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
96	5200
